original,transcribed,status
Veneris cognata Stella portatam miffactis.,Veneris cognata Stella portatam miffactis.,pending
Veneris Stellae cognatae misid et in S. Candelabris.,Veneris Stellae cognatae misid et in S. Candelabris.,pending
Veneris Stellae Tertif.,Veneris Stellae Tertif.,pending
Veneris in Episcopatus.,Veneris in Episcopatus.,pending
Veneris in Candelabris.,Veneris in Candelabris.,pending
Veniet Salvatore nudi.,Veniet Salvatore nudi.,pending
Et sextet horis.,Et sextet horis.,pending
Vespertina hora fuit non.,Vespertina hora fuit non.,pending
Vespertina tempus quid.,Vespertina tempus quid.,pending
Votrei Ecclesiae secernendo.,Votrei Ecclesiae secernendo.,pending
Via exiegit diutine Melani.,Via exiegit diutine Melani.,pending
Cadi.,Cadi.,pending
Via exiegit in subterfugium.,Via exiegit in subterfugium.,pending
Amon.,Amon.,pending
Vespertina primae dies Mariae.,Vespertina primae dies Mariae.,pending
Miseris cum anno Christi.,Miseris cum anno Christi.,pending
Vespertinorum temporis.,Vespertinorum temporis.,pending
Vigilica natalis.,Vigilica natalis.,pending
Vigilia tradicionis Senioris.,Vigilia tradicionis Senioris.,pending
Misisterium.,Misisterium.,pending
Vespertinam Mysticie.,Vespertinam Mysticie.,pending
Virgo secunda habens in sociis.,Virgo secunda habens in sociis.,pending
Vir Domini is Iuris.,Vir Domini is Iuris.,pending
Vir nosferans Hierosof insom nosiam in vastas paradise flas de celo vis.,Vir nosferans Hierosof insom nosiam in vastas paradise flas de celo vis.,pending
Viri famosi et fueritis.,Viri famosi et fueritis.,pending
Viri cum singulari.,Viri cum singulari.,pending
Viti significandi hul.,Viti significandi hul.,pending
Vita alterna jalis et filibus.,Vita alterna jalis et filibus.,pending
Viti medonis scandalum gildobietio.,Viti medonis scandalum gildobietio.,pending
Chriftus 159,Chriftus 159,pending
Volans angulus per median calce.,Volans angulus per median calce.,pending
Vires Romana Praesitificent.,Vires Romana Praesitificent.,pending
"Vires nona Roma, sed Constrarophis.","Vires nona Roma, sed Constrarophis.",pending
Vires Jeso Seliberationis in.,Vires Jeso Seliberationis in.,pending
Vires ides Celipes.,Vires ides Celipes.,pending
Vires Imperium Orientable.,Vires Imperium Orientable.,pending
"Wirtendorfici Ducis Ais, Nicolai III.","Wirtendorfici Ducis Ais, Nicolai III.",pending
"Wirtimbergicae Dix, he ei Natavreni praedinis natis anno Christi 1585","Wirtimbergicae Dix, he ei Natavreni praedinis natis anno Christi 1585",pending
"Zambri Reg. Isralis occidentis, familiarum Bafae nuviñ.","Zambri Reg. Isralis occidentis, familiarum Bafae nuviñ.",pending
